"user_id","order_count","product_count","total_revenue"
1477,"2","8","416.8"
1616,"1","1","52.0"
1936,"1","1","10.1"
2455,"2","45","2083.0"
3383,"1","1","91.0"
3675,"1","1","43.0"
4856,"1","4","299.9"
6105,"1","1","60.0"
6177,"2","27","906.2"
6335,"1","4","662.2"
6889,"2","32","276.2"
7642,"1","1","13.0"
7818,"1","1","23.0"
8212,"1","8","464.0"
9094,"2","12","288.8"
11992,"1","4","272.0"
12712,"1","2","188.9"
13095,"2","48","1547.2"
13324,"1","2","67.9"
13820,"1","16","287.8"
13949,"1","4","34.7"
14233,"1","4","61.0"
15224,"1","1","8.0"
17280,"1","4","208.1"
17287,"1","16","433.9"
17763,"1","4","63.8"
18449,"1","16","200.0"
19381,"1","16","319.8"
19775,"1","2","28.1"
22237,"2","20","639.9"
23900,"1","1","26.0"
24164,"1","2","71.0"
24376,"1","4","59.9"
25027,"1","4","200.0"
26940,"1","1","8.0"
27037,"1","1","93.8"
28749,"1","4","72.0"
28911,"1","1","25.0"
29886,"1","4","635.0"
31074,"1","2","101.0"
31249,"1","16","1699.8"
31347,"1","1","25.0"
31881,"1","16","2704.0"
32350,"1","32","819.8"
33673,"1","1","19.8"
34200,"1","1","29.0"
36922,"1","1","7.9"
36939,"1","2","102.4"
37225,"1","16","672.0"
39958,"1","1","8.2"
40020,"1","4","66.0"
40090,"1","1","20.0"
40310,"1","16","1648.0"
41679,"1","1","74.5"
41802,"1","1","39.0"
42601,"1","4","120.0"
42809,"1","16","1059.9"
43046,"1","1","69.0"
43218,"2","27","899.7"
44484,"1","1","30.0"
45184,"1","1","75.0"
46686,"1","4","176.0"
46828,"1","9","580.5"
47497,"1","32","2368.0"
47952,"1","1","18.8"
48094,"1","1","11.0"
50167,"1","2","58.1"
51286,"1","1","65.0"
51324,"2","8","353.7"
51618,"1","4","49.2"
51758,"1","16","1027.7"
51934,"1","1","249.9"
52199,"1","4","64.0"
52979,"1","64","5010.9"
53181,"1","2","71.0"
53274,"1","4","560.0"
55854,"1","16","591.8"
56249,"2","12","835.9"
56466,"1","1","97.9"
57449,"1","1","10.0"
59007,"1","4","119.9"
59221,"1","1","35.0"
59517,"1","1","40.0"
60270,"1","1","13.0"
60541,"1","16","1248.0"
61370,"1","8","496.0"
62863,"1","1","40.0"
63207,"1","4","27.8"
63641,"1","4","290.3"
64124,"1","4","208.2"
64852,"1","2","65.0"
65830,"2","18","800.8"
68433,"1","4","388.0"
68570,"1","1","45.0"
71038,"1","16","990.0"
71636,"1","1","201.9"
71992,"1","1","15.0"
72177,"1","16","1912.0"
74809,"1","4","216.0"
77003,"1","1","27.0"
77677,"1","8","823.8"
77740,"1","4","88.0"
79616,"1","9","405.0"
80140,"1","1","79.9"
81460,"1","2","33.9"
83629,"1","1","20.0"
83826,"1","2","127.0"
84041,"1","32","615.7"
86012,"1","9","224.9"
86121,"1","4","80.0"
86817,"1","4","44.0"
87386,"1","16","239.8"
88838,"1","2","27.0"
89332,"1","2","132.0"
91059,"2","8","403.1"
91356,"1","1","99.0"
91616,"1","1","20.0"
91875,"1","1","40.0"
93008,"1","16","919.4"
93063,"1","3","141.0"
93274,"1","2","107.1"
94601,"1","1","12.0"
94632,"1","1","38.0"
94801,"1","2","31.0"
95927,"1","3","96.8"
98375,"1","4","56.0"
99647,"1","1","62.0"
99657,"1","8","1260.0"
99666,"1","2","36.9"
